rainfall_rate,cumulative_rainfall_24h,soil_moisture,slope_angle,vibration_frequency,pore_water_pressure,temperature,risk_score,risk_class,risk_label
0.88,19.62,27.73,24.4,0.2,7.9,29.78,0.5,0,Safe
28.41,56.79,69.97,32.23,0.39,18.09,14.38,12.3,0,Safe
0.6,17.2,39.95,44.78,0.13,8.85,19.02,2.2,0,Safe
23.55,112.17,53.46,33.86,0.83,29.51,16.49,29.6,0,Safe
46.63,216.39,76.55,44.5,1.88,49.76,11.78,66.9,2,Warning
34.29,96.44,67.29,24.86,0.37,25.59,21.76,16.8,0,Safe
0.98,8.14,29.52,23.21,0.27,9.22,31.49,4.5,0,Safe
15.78,84.66,66.75,39.59,0.85,19.13,18.03,26.2,0,Safe
0.55,14.63,12.48,24.52,0.46,8.6,20.77,2.0,0,Safe
5.24,14.08,26.33,29.12,0.2,11.35,20.98,0.0,0,Safe
1.51,17.24,39.4,23.92,0.42,12.09,16.82,1.4,0,Safe
9.21,23.55,39.91,40.21,0.33,10.41,23.22,7.0,0,Safe
2.99,23.2,37.09,21.85,0.45,5.81,23.28,1.3,0,Safe
0.09,14.36,48.08,23.08,0.38,7.52,17.19,2.1,0,Safe
23.83,74.2,52.48,38.45,0.67,35.57,21.32,28.6,0,Safe
1.39,8.27,27.5,42.26,0.11,10.71,29.23,3.5,0,Safe
6.82,10.25,43.69,18.82,0.15,10.43,20.12,1.6,0,Safe
17.22,67.04,47.6,31.29,0.47,23.2,16.76,8.8,0,Safe
1.66,23.46,49.7,18.97,0.28,9.48,24.48,2.9,0,Safe
4.02,23.58,28.43,29.76,0.29,2.08,27.64,7.5,0,Safe
27.4,50.69,48.46,26.52,0.43,8.38,21.66,11.9,0,Safe
0.15,11.35,47.7,34.55,0.51,13.6,23.08,1.5,0,Safe
0.95,20.91,33.2,29.14,0.44,10.16,24.63,5.1,0,Safe
0.1,14.27,38.62,29.45,0.58,8.76,20.52,0.0,0,Safe
4.8,18.78,29.31,10.0,0.2,2.83,26.07,0.0,0,Safe
44.0,114.09,77.65,39.75,1.35,49.05,15.54,50.6,1,Watch
4.09,5.56,34.57,24.26,0.23,10.98,22.46,0.0,0,Safe
11.06,4.07,42.01,31.55,0.17,6.71,23.64,0.7,0,Safe
0.9,14.27,33.43,23.34,0.55,13.77,31.71,0.0,0,Safe
18.77,115.14,77.47,42.68,1.77,65.19,16.39,58.6,1,Watch
2.71,5.38,34.03,41.55,0.17,9.72,27.28,6.4,0,Safe
6.77,13.3,41.34,28.5,0.45,9.35,25.53,5.7,0,Safe
73.81,123.85,79.2,41.01,1.44,49.72,11.41,65.8,2,Warning
19.72,100.99,60.9,29.5,0.98,25.66,25.99,15.5,0,Safe
93.03,234.57,92.99,36.68,3.19,82.49,18.44,87.9,3,Critical
53.52,78.04,66.84,38.6,0.62,30.1,16.51,35.0,1,Watch
22.66,73.94,67.74,25.14,1.17,27.48,19.59,24.2,0,Safe
32.3,93.35,43.54,37.07,1.03,33.96,21.91,27.0,0,Safe
1.83,6.97,29.59,23.48,0.24,18.72,27.62,0.0,0,Safe
43.62,207.56,77.55,34.48,1.8,42.44,16.92,52.8,1,Watch
1.0,14.14,26.03,36.84,0.32,7.06,26.83,1.1,0,Safe
1.08,14.01,27.25,18.82,0.28,7.39,16.3,0.0,0,Safe
18.44,174.68,79.35,37.31,0.91,55.99,14.4,48.5,1,Watch
0.13,16.4,35.15,26.68,0.41,6.94,24.32,0.0,0,Safe
5.34,21.68,33.96,37.82,0.14,9.67,29.77,1.7,0,Safe
2.38,16.35,20.45,12.32,0.52,4.48,38.91,2.5,0,Safe
4.58,3.22,35.28,24.16,0.13,6.84,20.35,0.0,0,Safe
0.27,13.79,43.66,37.54,0.11,13.22,19.71,0.0,0,Safe
83.37,305.67,97.55,40.85,4.45,66.15,13.28,95.3,3,Critical
61.08,142.09,83.75,42.46,1.25,49.65,18.42,60.6,2,Warning
0.78,11.61,51.86,28.51,0.32,12.94,25.76,0.2,0,Safe
35.21,210.65,74.13,30.1,0.82,36.82,12.7,33.7,1,Watch
72.42,325.46,92.29,51.48,3.78,81.15,9.2,100.0,3,Critical
0.23,21.51,39.25,33.88,0.15,16.45,31.53,0.0,0,Safe
52.42,136.73,77.28,34.58,1.01,40.87,16.95,44.4,1,Watch
57.27,205.93,75.38,42.33,1.64,39.68,15.65,61.4,2,Warning
12.58,60.32,47.26,29.32,0.68,34.17,24.46,18.3,0,Safe
22.24,40.74,55.98,40.84,0.63,23.05,19.01,19.0,0,Safe
1.06,11.37,35.35,32.98,0.37,15.88,21.62,6.1,0,Safe
3.43,80.83,54.99,39.86,0.73,26.62,24.86,9.4,0,Safe
92.31,122.21,80.14,48.26,1.28,46.93,12.45,72.6,2,Warning
0.94,10.05,33.56,26.67,0.25,15.05,25.44,0.0,0,Safe
7.79,3.06,38.3,23.61,0.3,9.94,24.1,0.0,0,Safe
0.8,12.5,36.56,29.06,0.25,10.97,29.08,0.0,0,Safe
3.13,23.23,33.73,34.09,0.37,5.07,17.72,0.0,0,Safe
72.92,147.68,81.28,46.65,1.58,33.77,17.71,65.2,2,Warning
11.28,104.29,49.4,28.66,0.74,25.59,13.92,17.0,0,Safe
28.89,95.55,62.83,43.84,0.88,34.05,15.87,36.1,1,Watch
25.6,41.4,66.59,30.93,0.63,14.44,21.87,3.8,0,Safe
40.84,201.96,74.63,48.12,1.1,48.67,18.14,67.2,2,Warning
101.66,130.43,77.83,34.3,1.69,55.7,13.46,60.0,1,Watch
66.45,190.47,94.02,57.09,3.68,79.11,16.09,100.0,3,Critical
6.82,24.17,42.29,22.54,0.36,6.68,26.26,7.1,0,Safe
2.73,8.14,45.59,23.42,0.39,10.23,25.9,0.6,0,Safe
3.62,14.58,36.19,32.78,0.27,10.98,18.19,3.2,0,Safe
14.66,100.02,66.99,42.74,1.13,31.59,18.88,35.1,1,Watch
49.61,167.27,77.46,29.69,1.88,51.26,20.04,46.3,1,Watch
37.21,130.17,83.03,41.17,1.02,49.55,14.22,52.4,1,Watch
30.15,219.58,81.19,28.86,1.29,48.98,12.96,46.6,1,Watch
0.17,1.3,42.05,28.9,0.4,3.55,28.24,4.0,0,Safe
2.43,6.34,32.68,28.55,0.51,10.81,24.18,2.3,0,Safe
51.56,74.69,68.61,27.89,1.18,20.6,15.52,25.8,0,Safe
0.44,4.65,36.96,25.73,0.14,12.81,28.92,0.8,0,Safe
50.08,239.17,98.06,44.58,4.3,91.68,15.83,100.0,3,Critical
2.37,1.39,20.1,33.97,0.29,6.63,21.89,0.0,0,Safe
40.91,94.1,57.83,34.99,0.78,17.83,17.25,21.7,0,Safe
0.29,21.86,35.58,30.18,0.43,7.8,28.94,6.1,0,Safe
36.16,136.45,67.13,29.7,1.97,42.16,19.69,43.0,1,Watch
40.73,59.64,67.25,33.39,0.9,10.74,19.75,18.1,0,Safe
80.28,197.59,95.71,56.93,2.59,64.22,18.16,100.0,3,Critical
30.06,163.44,82.37,28.8,1.49,36.18,14.55,38.2,1,Watch
30.94,59.25,55.67,30.97,0.52,23.52,20.94,16.3,0,Safe
2.98,20.9,42.7,27.32,0.16,4.34,26.14,3.0,0,Safe
50.88,234.34,91.07,37.47,3.42,77.91,14.21,93.8,3,Critical
1.35,11.58,19.7,36.13,0.45,10.54,24.21,0.0,0,Safe
0.4,1.65,43.46,25.75,0.56,18.77,26.9,4.7,0,Safe
25.75,77.72,71.94,43.66,0.71,24.13,16.4,21.1,0,Safe
0.09,22.15,40.58,31.12,0.57,12.7,21.08,3.2,0,Safe
4.09,10.85,29.98,29.26,0.55,15.28,22.66,3.3,0,Safe
2.97,10.44,36.31,19.63,0.55,4.81,25.32,2.7,0,Safe
15.38,80.28,75.95,31.1,0.8,22.62,19.88,16.6,0,Safe
3.09,3.48,47.82,21.74,0.58,6.49,16.13,3.9,0,Safe
17.9,50.0,46.11,39.06,0.33,32.32,20.46,18.6,0,Safe
42.77,67.35,59.04,40.94,0.69,33.01,19.24,31.2,1,Watch
1.57,21.69,42.38,28.46,0.11,8.66,22.55,0.0,0,Safe
117.51,326.06,88.99,49.28,1.88,89.45,15.84,100.0,3,Critical
102.62,273.86,86.31,54.2,2.81,83.04,12.66,100.0,3,Critical
87.11,289.55,96.31,37.01,2.41,85.54,11.65,88.1,3,Critical
96.64,171.53,78.58,33.35,0.87,29.34,16.47,41.1,1,Watch
92.9,375.4,89.06,48.77,4.17,88.56,11.25,100.0,3,Critical
71.3,321.04,95.47,42.03,2.28,69.53,17.54,96.9,3,Critical
7.9,17.27,36.56,32.99,0.42,11.67,22.05,10.1,0,Safe
99.37,351.85,87.76,39.79,2.62,56.7,14.23,78.1,2,Warning
4.85,12.96,26.88,22.68,0.54,9.37,23.84,6.7,0,Safe
87.96,201.52,92.19,37.07,4.26,76.3,10.78,96.9,3,Critical
2.03,17.2,27.06,29.26,0.52,12.92,23.23,0.0,0,Safe
1.24,17.43,29.28,32.92,0.4,4.49,31.63,4.5,0,Safe
2.01,7.3,26.87,35.12,0.34,8.82,20.8,0.0,0,Safe
4.01,3.98,33.31,29.98,0.11,10.69,22.38,0.4,0,Safe
1.3,14.04,31.77,28.5,0.2,8.54,22.84,3.7,0,Safe
4.95,21.29,20.07,28.71,0.27,9.4,25.36,6.5,0,Safe
19.07,112.47,70.81,21.52,0.41,21.07,19.0,10.4,0,Safe
3.88,53.48,51.26,27.62,0.35,22.43,16.73,3.8,0,Safe
42.33,204.09,82.53,45.12,0.95,42.41,19.2,63.7,2,Warning
55.23,232.81,95.72,44.69,2.4,53.19,14.15,77.8,2,Warning
33.92,69.15,69.91,27.7,0.71,22.19,15.17,14.2,0,Safe
1.98,17.64,39.59,30.76,0.59,7.71,22.5,8.8,0,Safe
81.65,237.35,95.24,48.46,3.35,90.7,18.89,100.0,3,Critical
2.4,17.15,28.08,40.13,0.18,12.21,24.69,1.1,0,Safe
0.93,2.12,31.75,10.3,0.18,12.4,22.17,1.8,0,Safe
61.24,354.11,87.55,47.27,4.47,78.77,16.0,100.0,3,Critical
11.6,59.08,66.48,32.35,0.59,34.57,13.5,27.9,0,Safe
3.3,9.82,18.44,39.04,0.14,7.87,27.57,0.0,0,Safe
0.48,12.84,30.58,33.13,0.2,12.24,16.12,2.5,0,Safe
0.82,0.56,23.71,19.69,0.41,3.59,26.21,0.0,0,Safe
2.28,3.15,27.34,26.69,0.26,8.89,17.71,0.0,0,Safe
0.82,9.59,19.71,19.46,0.34,10.02,19.47,1.1,0,Safe
0.57,5.54,47.03,20.88,0.25,8.88,29.18,0.0,0,Safe
87.45,169.66,72.3,39.15,0.94,43.01,15.17,59.3,1,Watch
0.83,22.25,28.48,38.02,0.52,14.48,29.25,4.4,0,Safe
33.21,169.58,70.61,37.54,1.74,41.87,9.12,41.5,1,Watch
7.35,14.28,27.36,22.93,0.13,7.33,20.98,2.4,0,Safe
3.59,14.36,29.32,11.89,0.27,19.25,21.23,0.8,0,Safe
126.37,242.83,88.88,43.26,3.41,52.25,16.33,83.0,3,Critical
21.52,35.43,85.95,40.27,0.32,26.85,14.61,14.3,0,Safe
2.2,11.46,33.36,28.24,0.21,6.46,20.99,0.0,0,Safe
7.6,104.0,76.06,29.46,1.12,27.01,17.24,21.0,0,Safe
49.37,74.75,63.75,24.09,0.88,28.43,14.33,20.6,0,Safe
54.54,112.32,85.46,33.9,1.57,47.05,16.03,48.5,1,Watch
1.84,12.65,48.32,26.91,0.19,13.11,19.2,4.6,0,Safe
6.28,33.18,66.08,21.59,0.49,25.91,17.12,7.1,0,Safe
57.17,124.06,83.65,37.67,1.87,52.35,16.21,58.8,1,Watch
62.47,323.2,91.73,40.85,2.22,55.44,15.4,74.8,2,Warning
0.73,16.54,23.05,25.53,0.31,15.27,26.21,3.7,0,Safe
22.14,81.73,63.63,31.72,0.93,44.37,20.07,28.2,0,Safe
0.66,4.16,22.96,27.0,0.44,3.86,21.29,2.1,0,Safe
6.16,9.17,30.31,29.94,0.46,3.64,29.07,2.4,0,Safe
49.62,113.91,89.19,44.21,1.63,51.03,15.58,65.7,2,Warning
0.21,4.49,45.58,42.89,0.44,12.17,23.33,5.4,0,Safe
6.43,2.6,19.33,30.27,0.45,17.75,22.66,3.9,0,Safe
19.09,137.5,78.64,38.29,0.87,41.85,12.1,42.0,1,Watch
84.04,115.45,75.37,37.85,1.8,36.41,17.99,52.5,1,Watch
52.67,107.67,60.01,36.01,0.69,19.1,24.04,31.7,1,Watch
17.56,106.37,62.72,34.99,0.61,37.59,18.49,28.2,0,Safe
16.59,37.55,49.3,31.01,1.19,24.76,13.64,13.4,0,Safe
1.97,7.88,28.13,20.02,0.25,8.37,22.12,0.9,0,Safe
24.78,111.13,66.6,40.46,1.32,56.1,19.36,48.9,1,Watch
112.1,355.96,90.91,42.74,1.98,70.79,18.17,98.6,3,Critical
64.23,314.9,93.7,47.74,4.59,72.14,15.65,100.0,3,Critical
16.01,95.69,68.34,35.21,0.85,23.67,18.97,21.1,0,Safe
